Description,Price,Rating,Review Count,Product URL
Nokia C22 | 3-Day Battery Life | 6GB RAM (4GB RAM + 2GB Virtual RAM) | 13 MP Dual Rear AI Camera with Night & Portrait Mode | IP52 | Purple,"7,999",4.1 out of 5 stars,135,https://www.amazon.in//Nokia-Battery-Virtual-Camera-Portrait/dp/B0C4PX2J4B/ref=sr_1_49?keywords=mobile&qid=1689966095&sr=8-49
"realme narzo 50 5G (Hyper Blue, 4GB RAM+64GB Storage) Dimensity 810 5G Processor | 48MP Ultra HD Camera","13,999",4.2 out of 5 stars,"4,994",https://www.amazon.in//realme-Storage-Dimensity-Processor-Camera/dp/B09ZBF5Y4J/ref=sr_1_50?keywords=mobile&qid=1689966095&sr=8-50
realme narzo 50i Prime (Mint Green 4GB RAM+64GB Storage) Octa-core Processor |5000 mAh Battery,"7,699",4.0 out of 5 stars,"5,484",https://www.amazon.in//realme-Storage-Octa-core-Processor-Battery/dp/B0BBM78DMV/ref=sr_1_51?keywords=mobile&qid=1689966095&sr=8-51
"Xiaomi 12 Pro | 5G (Noir Black, 8GB RAM, 256GB Storage) | Snapdragon 8 Gen 1 | 50+50+50MP Flagship Cameras (OIS) | 10bit 2K+ Curved AMOLED Display | Sound by Harman Kardon","41,999",4.0 out of 5 stars,"3,504",https://www.amazon.in//Xiaomi-Storage-Snapdragon-Flagship-Cameras/dp/B09XB9FLSH/ref=sr_1_52?keywords=mobile&qid=1689966095&sr=8-52
"Redmi A2 (Aqua Blue, 4GB RAM, 64GB Storage) | Powerful Octa Core G36 Processor | Upto 7GB RAM | Large 16.5 cm HD+ Display with Massive 5000mAh Battery | 2 Years Warranty [Limited time Offer]","7,299",3.8 out of 5 stars,"1,316",https://www.amazon.in//Redmi-Storage-Powerful-Processor-Warranty/dp/B0C46GD5V7/ref=sr_1_53?keywords=mobile&qid=1689966095&sr=8-53
"Nokia C32 with 50MP Dual Rear AI Camera | Toughened Glass Back | 4GB RAM, 128GB Storage | Upto 7GB RAM with RAM Extension | 5000 mAh Battery | 1 Year Replacement Warranty | Android 13 | Mint","9,249",4.2 out of 5 stars,157,https://www.amazon.in//Nokia-Toughened-Extension-Replacement-Warranty/dp/B0C59CNMP7/ref=sr_1_54?keywords=mobile&qid=1689966095&sr=8-54
"Itel S23 (8GB RAM + 128GB ROM, Up to 16GB RAM with Memory Fusion | 50MP AI Dual Rear Camera | 5000mAh Battery with Type-C Charging | 90 Hz Display) - Mystery White","8,999",3.7 out of 5 stars,334,https://www.amazon.in//Itel-5000mAh-Battery-Charging-Display/dp/B0C6B25FQ3/ref=sr_1_55?keywords=mobile&qid=1689966095&sr=8-55
"Redmi Note 11 (Space Black, 4GB RAM, 64GB Storage)|90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | 33W Charger Included","13,499",4.1 out of 5 stars,"58,045",https://www.amazon.in//Redmi-Storage-Qualcomm%C2%AE-SnapdragonTM-Included/dp/B09QS8V5N8/ref=sr_1_56?keywords=mobile&qid=1689966095&sr=8-56
"iQOO Z6 Lite 5G (Stellar Green, 6GB RAM, 128GB Storage) with Charger | World's First Snapdragon 4 Gen 1 | Best in-Segment 120Hz Refresh Rate | Travel Adaptor Included in The Box","14,499",4.0 out of 5 stars,"12,514",https://www.amazon.in//iQOO-Stellar-Snapdragon-Segment-Included/dp/B07WHSR1NR/ref=sr_1_57?keywords=mobile&qid=1689966095&sr=8-57
"Samsung Galaxy M34 5G (Midnight Blue, 8GB, 128GB Storage) | 120Hz sAMOLED Display | 50MP Triple No Shake Cam | 6000 mAh Battery | 16GB RAM with RAM Plus | Android 13 | Without Charger","20,999",3.7 out of 5 stars,37,https://www.amazon.in//Samsung-Midnight-Storage-sAMOLED-Display/dp/B0C7C2FCY5/ref=sr_1_58?keywords=mobile&qid=1689966095&sr=8-58
"Nokia C12 Android 12 (Go Edition) Smartphone, All-Day Battery, 4GB RAM (2GB RAM + 2GB Virtual RAM) + 64GB Capacity | Light Mint","5,699",3.1 out of 5 stars,946,https://www.amazon.in//Nokia-Android-Smartphone-All-Day-Capacity/dp/B0BW5QRCPG/ref=sr_1_59?keywords=mobile&qid=1689966095&sr=8-59
